order,Questions / Comments of editors,Changes observed by editors,ID previous,ID new,Format version ID (when introduced),Field Name (de),Field Name (en),Element/Attribute Name,Technically Required,Occ.,Datatype,Original ILCD Format Definition (en),Definition (de),InData Definition (en),Further explanations (EN),InData compliance CP-2020,ECO Platform conformity,ÖKOBAUDAT conformity,Deviation to ILCD format definition (see FAQ),Extension of ILCD format,InData Compliance Construction Products CPEN2020,eDoc ID,Example of expected information in the field,EN15804+A2 mapping (chapter number),EN15804+A2 required information,ISO 22057 mapping (GUID),ISO 22057 required information,ISO 21930 mapping,ISO 21930 required information,Indent,Path
12.0,"""not used"" according to InData Definition? why is it listed then? Too unspecific. Recommendation: remove",,new,B.1.2.2,v1.0,Quantitative Produkt-/ Prozeßeigenschaften,Quantitative product or process properties,functionalUnitFlowProperties,o,"[0,1]",StringMultiLang,"Further, quantitative specifying information on the good, service or process in technical term(s): qualifying constituent(s)-content and / or energy-content per unit etc. as appropriate. Separated by commata. (Note: non-qualifying flow properties, CAS No, Synonyms, Chemical formulas etc. are documented exclusively in the ""Flow data set"".)",(nicht verwendet),(not used),,o,,,,,,1-1-2-5,,,,,,,,2,processInformation/dataSetInformation/functionalUnitFlowProperties
13.0,,,new,B.1.2.3,v1.0,Anderer Inhalt,Other content,other,o,"[0,1]",,May contain arbitrary content.,,~,,o,,,,,,0,,,,,,,,2,processInformation/dataSetInformation/other
11.0,,,new,B.1.3,v1.0,Synonyme,Synonyms,synonyms,o,"[0,1]",FTMultiLang,"Synonyms / alternative names / brands of the good, service, or process. Separated by semicolon.","Synonyme oder alternative Bezeichnungen, durch Semikolon getrennt",~,,o,,,,,,1-1-2-6,,,,,,,,2,processInformation/dataSetInformation/synonyms
14.0,,,A1.3,B.1.4,v1.0,Klassifizierungsinformation,Classification information,classificationInformation,r,"[0,1]",,"Hierarchical classification of the good, service, or process. (Note: This entry is NOT required for the identification of a Process. It should nevertheless be avoided to use identical names for Processes in the same category.",Zuordnung zu hierarchischen Produktkategorien. Zuordnungen können für beliebig viele Kategoriesysteme vorgenommen werden.,Hierarchical classification of the product/system. Classification information can be given for an arbitrary number of classification systems.,,m,,,,,"For InData compliance: this can be any classification system, it has to be provided in English. +
For further details see FAQ.",1-1-2-7,"Class name : Hierarchy level ÖKOBAUDAT: 1.1.01 Mineral +
Building Products / Binder / +
Cement",,,,,,,2,processInformation/dataSetInformation/classificationInformation
15.0,,,A1.3,B.1.4.1,v1.0,Klassifizierung,Classification,classification,r,"[0,n]",,Optional statistical or other classification of the data set. Typically also used for structuring LCA databases.,ein Gliederungssystem mit Gliederungsklassen,~,,m,,,,,,1-1-2-7-2,,,,,,,,2,processInformation/dataSetInformation/classification
16.0,,,new,B.1.4.1.1,v1.0,Gliederungssystem,Classification system name,@name,r,,string,Name of the classification system.,"Name des Gliederungssystems, z.B. ""OEKOBAU.DAT""",~,,m,,,,,,1-1-2-7-2-a,,,,,,,,3,processInformation/dataSetInformation/classification/@name
17.0,,,new,B.1.4.1.2,v1.0,Gliederungsklassen,Classes,@classes,r,,anyURI,"URL or file name of a file listing all classes of this classification system. [Notes: the referenced file has to be in form of the ""ILCDClassification.xml"" format. If a classification file is specified, the ""class"" entry should correspond to the classes defined in the classification file.]","URL oder Dateiname der Datei, die alle Klassen dieses Gliederungssystems beschreibt.",~,,m,,,,,,1-1-2-7-2-b,,,,,,,,3,processInformation/dataSetInformation/classification/@classes
18.0,,,new,B.1.4.1.3,v1.0,Klassenname,Class name,class,r,"[1,n]",,Name of the class.,Name der Gliederungsklasse,~,,m,,,,,,1-1-2-7-2-1,,,,,,,,3,processInformation/dataSetInformation/classification/class
19.0,,,new,B.1.4.1.3.1,v1.0,Hierarchieebene,Hierarchy level,@level,r,,LevelType,"If more than one class is specified in a hierachical classification system, the hierarchy level (1,2,...) could be specified with this attribute of class.","Wenn in einem hierarchischen Gliederungssystem mehr als eine Klasse angegeben ist, wird hiermit die Hierarchiestufe angegeben. Die oberste Hierarchiestufe ist 0.",~,,m,,,,,,1-1-2-7-2-1-a,,,,,,,,3,processInformation/dataSetInformation/classification/@level
20.0,,,new,B.1.4.1.3.2,v1.0,Eindeutiger Klassenidentifizierer,Unique class identifier,@classId,r,,string,"Unique identifier for the class. [Notes: If such identifiers are also defined in the referenced category file, they should be identical. Identifiers can be UUID's, but also other forms are allowed.]",Eindeutiger Identifizierer für die Klasse. Dieser sollte mit der Angabe im Beschreibungsdokument übereinstimmen und kann eine UUID oder ein beliebiger anderer Bezeichner sein.,~,,m,,,,,,1-1-2-7-2-1-b,,,,,,,,3,processInformation/dataSetInformation/classification/@classId
21.0,,,A1.4,B.1.5,v1.0,Allgemeine Anmerkungen zum Datensatz,General comment on data set,generalComment,r,"[0,1]",FTMultiLang,"General information about the data set, including e.g. general (internal, not reviewed) quality statements as well as information sources used. (Note: Please also check the more specific fields e.g. on ""Advice on data set use"" to avoid overlapping entries.)","Sofern relevant: Allgemeine Erläuterungen zum Datensatz einschließlich Beschreibung der Qualitätssicherung (z.B. interne Prüfung, nicht verifiziert) und der Referenzen. Anmerkung: Bitte nur die zentralen Aspekte des Datensatzes zusammenfassen (""Synopsis zum Datensatz"") und Redundanzen mit Datensatz ""Anwendungshinweis für Datensatz"" vermeiden.","If relevant: General information about the data set, including e.g. general quality statements (internal, not reviewed) as well as information sources used. Note: Please fill in only central aspects (""synopsis of dataset"") and avoid overlapping entries with ""Advice on data set use"".",,o,"Data quality information shall be provided in a prominent +
section of the EPD reporting data quality according +
to EN 15941. This text shall be in line with the information +
on data quality reported in the Project Report +
and shall be a reasonable summary of it. +
 +
Any use of relevant data assessed for either time, geography +
or technology according to 7.1 and EN 15804+A2, +
6.3.8.3 to be: +
- poor or very poor data +
- fair data that has more than 30 % for any core indicator has been noted in the EPD. +
 +
The EPD specifies which table from EN 15804+A2, Annex +
E has been used to assess the data quality of relevant +
data.","Data quality information shall be provided in a prominent +
section of the EPD reporting data quality according +
to EN 15941. This text shall be in line with the information +
on data quality reported in the Project Report +
and shall be a reasonable summary of it. +
 +
Any use of relevant data assessed for either time, geography +
or technology according to 7.1 and EN 15804+A2, +
6.3.8.3 to be: +
- poor or very poor data +
- fair data that has more than 30 % for any core indicator has been noted in the EPD. +
 +
The EPD specifies which table from EN 15804+A2, Annex +
E has been used to assess the data quality of relevant +
data.",,,,1-1-2-12,The data set covers…..,,,,,,,2,processInformation/dataSetInformation/generalComment
22.0,Definition was not reasonable (saftey declarations in this place?); replaced by text in explanation,,A1.5,B.1.6,v1.0,Hintergrundbericht / Ökobilanzbericht,"Data set LCA report, background info",referenceToExternalDocumentation,o,"[0,n]",GlobalReferenceType,"""Source data set(s)"" of detailed LCA study on the process or product represented by this data set, as well as documents / files with overarching documentative information on technology, geographical and / or time aspects etc. (e.g. basic engineering studies, process simulation results, patents, plant documentation, model behind the parameterisation of the ""Mathematical model"" section, etc.) (Note: can indirectly reference to digital file.)","Hier können relevante Dokumente wie z.B. Sicherheitsdatenblätter, Hintergrundbericht, erläuterndes Material o.ä. angehängt werden",Project report according to EN 15804 can be attached.,,o,"EN 15804+A2: chapter 7.1 l +
 +
EPD contains a (simple) flow diagram in accordance with +
the modular approach","EN 15804+A2: chapter 7.1 l +
 +
EPD contains a (simple) flow diagram in accordance with +
the modular approach",semantic,,,1-1-2-13,,chapter 7.1 l,Information on where explanatory material can be obtained.,,,,,2,processInformation/dataSetInformation/referenceToExternalDocumentation
23.0,,,new,B.1.7,v1.0,Anderer Inhalt,Other content,other,o,"[0,1]",,May contain arbitrary content.,,~,,o,,,,,,0,,,,,,,,2,processInformation/dataSetInformation/other
24.0,,,new,B.2,v1.3,Referenz-Nutzungsdauer in Jahren,Reference Service Life in years,epd24:referenceServiceLife,o,"[0,1]",,,"Beschreibt die Referenz-Nutzungsdauer in Jahren, inklusive der eingegangenen Nutzungsbedingungen, vgl. ISO 15686-8, EN 15804+A2, ISO 22057.","Describes th reference service life in years, including the assumed use conditions, cf. ISO 15686-8, EN 15804+A2, ISO 22057.",,,,,,,,,,7.3.3.2 'Reference Service Life (RSL)',,,,,,1,processInformation/epd24:referenceServiceLife
25.0,,,new,B.2.1,v1.3,Jahre,Years,@epd24:years,m,[1],xs:double,,Anzahl der Jahre,Number of years,,o,,,,,,,,,,,,,,2,processInformation/epd24:referenceServiceLife/@epd24:years
26.0,,,new,B.2.2,v1.3,Nutzungsbedingungsfaktor,Use Condition factor,epd24:useConditionFactor,o,"[0,n]",,,Angabe eines bei der Berechnung der Referenz-Nutzungsdauer zugrunde gelegten Faktors.,Factor used in the calculation of the reference service life value,,o,,,,,,,,,,,,,,2,processInformation/epd24:referenceServiceLife/epd24:useConditionFactor
27.0,,,new,B.2.2.1,v1.3,Faktor-Kategorie,Factor category,@epd24:factorCategory,m,"[1,1]","Restricted xs:string: +
A - inherent quality +
B - design level +
C - work execution +
D - indoor environment +
E - outdoor environment +
F - usage conditions +
G - maintenance level",,Deklaration des Faktors bzw. der Faktor-Kategorie,Declaration of the factor (i.e. by factor category),,o,,,,,,,,,,,,,,2,processInformation/epd24:referenceServiceLife/@epd24:factorCategory
28.0,,,new,B.2.2.2,v1.3,Objekt-spezifischer Nutzungsgrad,Object specific use condition grade,@epd24:objectSpecificGrade,o,"[0,1]","Restricted xs:int: +
0 +
1 +
2 +
3 +
4 +
5",,Objekt-spezifischer Nutzungsgrad im Sinne der ISO 15686-8,Object-specific in-use condition grade in terms of ISO 15686-8,,o,,,,,,,,,,,,,,2,processInformation/epd24:referenceServiceLife/@epd24:objectSpecificGrade
29.0,,,new,B.2.2.3,v1.3,Referenzgrad der Nutzung,Reference use condition grade,@epd24:referenceGrade,o,"[0,1]","Restricted xs:int: +
0 +
1 +
2 +
3 +
4 +
5",,Referenznutzungsgrad im Sinne der ISO 15686-8,Reference in-use condition grade in terms of ISO 15686-8,,o,,,,,,,,,,,,,,2,processInformation/epd24:referenceServiceLife/@epd24:referenceGrade
30.0,,,new,B.2.2.4,v1.3,Faktor,Factor,@epd24:factor,o,"[0,1]",xs:double,,"Faktor, der in die Berechnung der Referenznutzungsdauer eingegangen ist.",Factor used in the calculation of the reference service life.,,o,,,,,,,,,,,,,,2,processInformation/epd24:referenceServiceLife/@epd24:factor
31.0,,,new,B.2.2.5,v1.3,Kommentar,Comment,epd24:comment,o,"[0,n]",FTMultiLang,,Textfeld für Bemerkungen bspw. genauere Angaben zu den zugrundeliegenden Annahmen,"Text field for comments, e.g. specifics on assumptions",,o,,,,,,,,,,,,,,2,processInformation/epd24:referenceServiceLife/epd24:comment
32.0,,,new,B.2.3,v1.3,Referenz zum Standard,Reference to standard,epd24:referenceToStandard,o,"[0,1]",GlobalReferenceType,,"""Source""-Datensatz mit dem der Schätzung/Berechnung zugrundeliegenden Standard","""Source data set"" of the standard used for service life estimation",,o,,,,,,,,,,,,,,2,processInformation/epd24:referenceServiceLife/epd24:referenceToStandard
33.0,,,new,B.2.4,v1.3,Referenz zur Dokumentation der Einbaubedingungen,Reference to use conditions documentation,epd24:referenceToUseConditionsDocumentation,o,"[0,n]",GlobalReferenceType,,"""Source""-Datensatz mit Dokumentation der Einbaubedingungen, die der Schätzung/Berechnung der angegebenen Lebensdauer zugrundeliegen","""Source data set"" of the documentation describing the use conditions used for service life estimation",,o,,,,,,,,,,,,,,2,processInformation/epd24:referenceServiceLife/epd24:referenceToUseConditionsDocumentation
34.0,,,new,B.2.5,v1.3,Kommentar,Comment,epd24:comment,o,"[0,n]",FTMultiLang,,Kommentarfeld,Comment field,,o,,,,,,,,,,,,,,2,processInformation/epd24:referenceServiceLife/epd24:comment
35.0,,,new,B.3,v1.3,Angenommene Nutzungsdauer in Jahren,Estimated Service Life in years,epd24:estimatedServiceLife,o,"[0,1]",,,"Beschreibt die erwartete Nutzungsdauer in Jahren, vgl. ISO 22057 'Estimated Service Life (ESL)' und ISO 15686-8.","Describes the estimated service life in years, c.f. ISO 22057 'Estimated Service Life (ESL)' and ISO 15686-8.",,,,,,,,,,,,,'Estimated Service Life (ESL)',,,1,processInformation/epd24:estimatedServiceLife
36.0,,,new,B.3.1,v1.3,Jahre,Years,@epd24:years,m,[1],xs:double,,Anzahl der Jahre,Number of years,,o,,,,,,,,,,,,,,2,processInformation/epd24:estimatedServiceLife/@epd24:years
37.0,,,new,B.3.2,v1.3,Nutzungsbedingungsfaktor,Use Condition factor,epd24:useConditionFactor,o,"[0,n]",,,Angabe eines bei der Berechnung der Referenz-Nutzungsdauer zugrunde gelegten Faktors.,Factor used in the calculation of the reference service life value,,o,,,,,,,,,,,,,,2,processInformation/epd24:estimatedServiceLife/epd24:useConditionFactor
38.0,,,new,B.3.2.1,v1.3,Faktor-Kategorie,Factor category,@epd24:factorCategory,m,"[1,1]","Restricted xs:string: +
A - inherent quality +
B - design level +
C - work execution +
D - indoor environment +
E - outdoor environment +
F - usage conditions +
G - maintenance level",,Deklaration des Faktors bzw. der Faktor-Kategorie,Declaration of the factor (i.e. by factor category),,o,,,,,,,,,,,,,,2,processInformation/epd24:estimatedServiceLife/@epd24:factorCategory
39.0,,,new,B.3.2.2,v1.3,Objekt-spezifischer Nutzungsgrad,Object specific use condition grade,@epd24:objectSpecificGrade,o,"[0,1]","Restricted xs:int: +
0 +
1 +
2 +
3 +
4 +
5",,Objekt-spezifischer Nutzungsgrad im Sinne der ISO 15686-8,Object-specific in-use condition grade in terms of ISO 15686-8,,o,,,,,,,,,,,,,,2,processInformation/epd24:estimatedServiceLife/@epd24:objectSpecificGrade
40.0,,,new,B.3.2.3,v1.3,Referenzgrad der Nutzung,Reference use condition grade,@epd24:referenceGrade,o,"[0,1]","Restricted xs:int: +
0 +
1 +
2 +
3 +
4 +
5",,Referenznutzungsgrad im Sinne der ISO 15686-8,Reference in-use condition grade in terms of ISO 15686-8,,o,,,,,,,,,,,,,,2,processInformation/epd24:estimatedServiceLife/@epd24:referenceGrade
41.0,,,new,B.3.2.3.1,v1.3,Faktor,Factor,@epd24:factor,o,"[0,1]",xs:double,,"Faktor, der in die Berechnung der Referenznutzungsdauer eingegangen ist.",Factor used in the calculation of the reference service life.,,o,,,,,,,,,,,,,,2,processInformation/epd24:estimatedServiceLife/@epd24:factor
42.0,,,new,B.3.2.3.2,v1.3,Kommentar,Comment,epd24:comment,o,"[0,n]",FTMultiLang,,Textfeld für Bemerkungen bspw. genauere Angaben zu den zugrundeliegenden Annahmen,"Text field for comments, e.g. specifics on assumptions",,o,,,,,,,,,,,,,,2,processInformation/epd24:estimatedServiceLife/epd24:comment
43.0,,,new,B.3.2.4,v1.3,Referenz zum Standard,Reference to standard,epd24:referenceToStandard,o,"[0,1]",GlobalReferenceType,,"""Source""-Datensatz mit dem der Schätzung/Berechnung zugrundeliegenden Standard","""Source data set"" of the standard used for service life estimation",,o,,,,,,,,,,,,,,2,processInformation/epd24:estimatedServiceLife/epd24:referenceToStandard
44.0,,,new,B.3.2.5,v1.3,Referenz zur Dokumentation der Einbaubedingungen,Reference to use conditions documentation,epd24:referenceToUseConditionsDocumentation,o,"[0,n]",GlobalReferenceType,,"""Source""-Datensatz mit Dokumentation der Einbaubedingungen, die der Schätzung/Berechnung der angegebenen Lebensdauer zugrundeliegen","""Source data set"" of the documentation describing the use conditions used for service life estimation",,o,,,,,,,,,,,,,,2,processInformation/epd24:estimatedServiceLife/epd24:referenceToUseConditionsDocumentation
45.0,,,new,B.3.2.6,v1.3,Kommentar,Comment,epd24:comment,o,"[0,n]",FTMultiLang,,Kommentarfeld,Comment field,,o,,,,,,,,,,,,,,2,processInformation/epd24:estimatedServiceLife/epd24:comment
46.0,,,new,B.4,v1.3,Produktkennungen,Product identifiers,epd24:productIds,r,"[0,1]",,,"Liste verschiedener Produktkennungen, bspw. entsprechende GTIN- / GMN-Kennungen, Handelsnamen, ...","List of different product identifiers, e.g. GTIN / GMN codes, trade names, ...",,,,,,,,,,,,,,,,1,processInformation/epd24:productIds
47.0,o' until information is available in datasets.,,new,B.4.1,v1.3,Produktkennung,Product identifier,epd24:productId,m,[1],String,,Produktkennung,Product identifier,,o,,,,,,,,,,,,,,2,processInformation/epd24:productIds/epd24:productId
48.0,o' until information is available in datasets.,,new,B.4.1.1,v1.3,Kennungstyp,Identifier type,@epd24:type,m,[1],String,,"Art der Produktkennung, z.B. 'GTIN', 'GMN' etc.","Declares the type of product identifier, e.g. 'GTIN', 'GMN', etc.",,o,,,,,,,,,,,,,,2,processInformation/epd24:productIds/@epd24:type
,"shifted from B.4.2 to C.1.7 +
topic ""uncertainty penalities' does not fit to the previous one (product identifier) +",,A1.6,B.4.2,v1.1,Sicherheitszuschläge,Generic data uncertainty penalties,epd:safetyMargins,o,"[0,1]",,,Ausweis enthaltener Sicherheitszuschläge,Documentation of uncertainty margins that have been included in the results,The amount (in percent) of any included uncertainty penalties. Find further explanations in FAQ.,o,,,,x,"Mandatory for generic data in ÖKOBAUDAT For InData compliance: This concept is used for generic data (at the moment only relevant in  ÖKOBAUDAT). +
For further details see FAQ.",,0.2,,,,,,,2,processInformation/epd24:productIds/epd:safetyMargins
,"shifted from B.4.2 to C.1.7 +
topic ""uncertainty penalities' does not fit to the previous one (product identifier) +",,A1.6,B.4.2.1,v1.1,Sicherheitszuschläge,Uncertainty penalties,epd:margins,o,"[0,1]",Percentage,,Die Höhe der enthaltenen Zuschläge in Prozent,The amount (in percent) of the included uncertainty margins,,o,,,,o,,,,,,,,,,2,processInformation/epd24:productIds/epd:margins
,"shifted from B.4.2 to C.1.7 +
topic ""uncertainty penalities' does not fit to the previous one (product identifier) +",,A1.7,B.4.2.2,v1.1,Beschreibung,Description of generic data uncertainty penalties,epd:description,o,"[0,1]",FTMultiLang,,Begründung und Regeln für die Sicherheitszuschläge,Reasons and rules for choice of uncertainty penalties,Find further explanations in FAQ.,o,,,,x,"Mandatory for generic data in ÖKOBAUDAT For InData compliance: This concept is used for generic data (at the moment only relevant in  ÖKOBAUDAT). +
For further details see FAQ.",,Product system mapped completely except for the following processes / flows….,,,,,,,2,processInformation/epd24:productIds/epd:description
49.0,,,A2,B.5,v1.1,Szenarien,Scenarios,epd:scenarios,o,"[0,1]",,,"Deklaration der einzelnen Szenarien. Es können mehrere voneinander unabhängige Gruppen von Szenarien deklariert werden, die durch den optionalen Gruppenbezeichner voneinander unterschieden werden können. Dabei kann jeweils ein Szenario als Standardszenario markiert werden.","Declaration of scenarios. Multiple independent groups of scenarios can be declared, using the optional group identifier for differentiation. Within each group, one scenario can be marked as the default one.",,,"Mandatory for all declared modules beyond A3: declaration +
of the assumptions pertaining to the scenarios of +
the declared modules in accordance with the project report.","Mandatory for all declared modules beyond A3: declaration +
of the assumptions pertaining to the scenarios of +
the declared modules in accordance with the project report.",,x,,,,T10-T12 & T14,scenario description,,,,,1,processInformation/epd:scenarios
50.0,,,A2.1,B.5.1,v1.1,Szenario,Scenario,epd:scenario,o,"[0,n]",,,Ein Szenario,One scenario,,o,EN 15804+A2: tables T10-T12 & T14,EN 15804+A2: tables T10-T12 & T14,,x,,,,T10-T12 & T14,scenario description,,,,,2,processInformation/epd:scenarios/epd:scenario
51.0,,,A2.2,B.5.1.1,v1.1,Name,Name,@epd:name,m,,string,,Name des Szenarios,Name of the scenario; mandatory as soon as any scenario is declared.,,o,EN 15804+A2: tables T10-T12 & T14,EN 15804+A2: tables T10-T12 & T14,,x,,,,T10-T12 & T14,scenario description,,,,,2,processInformation/epd:scenarios/@epd:name
52.0,,,A2.3,B.5.1.2,v1.1,Standardszenario,Default,@epd:default,o,,boolean,,"""true"" wenn dieses das Standardszenario ist","""true"" if this is the default scenario; If a group of scenarios is declared, one scenario of the group has to be announced as default scenario.",,o,,,,x,,,,,,,,,,2,processInformation/epd:scenarios/@epd:default
53.0,,,A2.4,B.5.1.3,v1.1,Gruppe,Group,@epd:group,o,,string,,Bezeichner für eine Gruppe von Szenarien,Identifier for a group of scenarios,,o,,,,x,,,,,,,,,,2,processInformation/epd:scenarios/@epd:group
54.0,,,A2.5,B.5.1.4,v1.1,Beschreibung,Description,epd:description,o,"[0,1]",FTMultiLang,,Beschreibung des Szenarios,Description of the scenario; mandatory as soon as any scenario is declared. Link to detailed description in EPD-document can be given.,,o,EN 15804+A2: tables T10-T12 & T14,EN 15804+A2: tables T10-T12 & T14,,x,,,,T10-T12 & T14,scenario description,,,,,2,processInformation/epd:scenarios/epd:description
55.0,,,A3,B.6,v1.1,Module,Modules,epd:modules,o,"[0,1]",,,"Optionale Deklaration der einzelnen Module, um diese auf der Seite der generierenden Anwendung mit Produktsystemen verknüpfen zu können. Dies ist nützlich, falls der Datensatz später mit dem Werkzeug, welches zur Generierung benutzt wurde, eingelesen und bearbeitet werden soll.",Optional declaration of modules for storing a reference (ID) to the underlying product model on the generating application side. This is useful if you want to open and edit the dataset later with the tool used to generate it.,,,,,,x,,,,,,,,,,1,processInformation/epd:modules
56.0,,,A3.1,B.6.1,v1.1,Modul,Module,epd:module,o,"[0,n]",,,Ein Modul,One module,,m,,,,x,,,,,,,,,,2,processInformation/epd:modules/epd:module
57.0,,,A3.2,B.6.1.1,v1.1,Name,Name,@epd:name,m,,string,,Name des Moduls,Name of the module,,o,,,,x,,,,,,,,,,2,processInformation/epd:modules/@epd:name
58.0,,,A3.3,B.6.1.2,v1.1,Produktsystem-ID,Product system ID,@epd:productsystem-id,m,,string,,ID des diesem Modul zugrundeliegenden Produktsystems,ID of the underlying product system for this module,,o,,,,x,,,,,,,,,,2,processInformation/epd:modules/@epd:productsystem-id
59.0,,,A1.8,B.7,v1.2,Inhaltsangabe,Content Declaration,epd2:contentDeclaration,o,"[0,1]",,,Inhaltsangabe gemäss EN 15804/ISO 21930.,"Content declaration according to EN 15804/ISO 219301.  +
The content declaration may contain component, material and/or substance elements, which may (but do not have to) be nested.","This allows for specifying which substances are used in the product and the percentage they amount to in the product, optionally by providing this information on component or material level. +
Example: +
Gypsum (REA) 92.1% +
Cardboard 3.0% +
Glass fibre reinforcement  0.2%  +
Div additives (total) 4.7% +
Total 100%",,EN 15804+A2: chapter 7.1 d,EN 15804+A2: chapter 7.1 d,,x,,,,7.1 d,"Description of main product components and/or substances (to help understand the product composition in its delivery state and ensure safety and efficiency during installation, use, disposal)",0w$1F7Vk17L8tW8yV$3Vu3,,,,1,processInformation/epd2:contentDeclaration
60.0,,,new,B.7.1,v1.2,Komponente,Component,epd2:component,o,"[0,n]",,,Beschreibt eine Komponente.,Describes a component.,,o,,,,,,,,,,,,,,2,processInformation/epd2:contentDeclaration/epd2:component
61.0,,,new,B.7.1.1,v1.2,Name,Name,epd2:name,m,"[1,1]",StringMultiLang,,Name der Komponente.,Name of the component.,,o,,,,,,,,,,,,,,2,processInformation/epd2:contentDeclaration/epd2:name
62.0,,,new,B.7.1.2,v1.2,Massenanteil in %,Mass percentage,epd2:weightPerc,m,"[1,1]",,,Massenanteil in % des Gesamtprodukts. Ein diskreter Wert oder ein Wertebereich muß angegeben werden.,Percentage of the total mass of the product. Either a discrete value or a range of values has to be specified.. Either a discrete value or a range of values has to be specified.. Either a discrete value or a range of values has to be specified. Either a discrete value or a range of values has to be specified.Either a discrete value or a range of values has to be specified.,,o,,,,,,,,,,,,,,2,processInformation/epd2:contentDeclaration/epd2:weightPerc
63.0,,,new,B.7.1.2.1,v1.2,Diskreter Wert,Discrete value,@epd2:value,o,,Real,,Zur Angabe eines diskreten Zahlenwerts: der Wert,For specifying a discrete value: the value,,o,,,,,,,,,,,,,,2,processInformation/epd2:contentDeclaration/@epd2:value
64.0,,,new,B.7.1.2.2,v1.2,Wertebereich: unterer Wert,Range: lower value,@epd2:lowerValue,o,,Real,,Zur Angabe eines Wertebereich: unterer Wert des Wertebereichs,For specifying a range of values: the lower value of the range,,o,,,,,,,,,,,,,,2,processInformation/epd2:contentDeclaration/@epd2:lowerValue
